unique_id|competitor_name|extraction_date|product_name|brand|grammage_quantity|grammage_unit|breadcrumb|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|pdp_url|Fat %|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|upc|ingredients|servings_per_pack|img_urls
1226173|aldi|2025-05-08|Goudse kaas 48+ plakken jong belegen|molenland|200.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ plakken jong belegen|ALDI Supermarkten|Product|Goudse kaas 48+ plakken jong belegen|||3.19|3.19|None|||||||15.95|EUR|https://www.aldi.nl/product/goudse-kaas-48+-plakken-jong-belegen-1226173.html|||Natuurgerijpt.|||nl||||1226173|||https://s7g10.scene7.com/is/image/aldinord/product_1226173_main_cms_1_nl_nl_goudse_kaas_48_plakken_jong_belegen_cw01_2024
1226172|aldi|2025-05-08|Goudse kaas 48+ plakken oud|Molenland|200.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ plakken oud|ALDI Supermarkten|Product|Goudse kaas 48+ plakken oud|||3.49|3.49|None|||||||17.45|EUR|https://www.aldi.nl/product/goudse-kaas-48+-plakken-oud--1226172.html|||Natuurgerijpt.|||nl||||1226172|||https://s7g10.scene7.com/is/image/aldinord/product_1226172_main_cms_1_nl_nl_goudse_kaas_48_plakken_oud_cw01_2024
1226171|aldi|2025-05-08|Goudse kaas 48 + plakken jong vers gesneden|Molenland|200.0|g|ALDI Supermarkten > Product > Goudse kaas 48 + plakken jong vers gesneden|ALDI Supermarkten|Product|Goudse kaas 48 + plakken jong vers gesneden|||2.99|2.99|None|||||||14.95|EUR|https://www.aldi.nl/product/goudse-kaas-48-+-plakken-jong-vers-gesneden-1226171.html|||Volle en romige Hollandse Gouda kaasplakken 48+.|||nl||||1226171|||https://s7g10.scene7.com/is/image/aldinord/product_1226171_main_cms_1_nl_nl_goudse_kaas_48_plakken_jong_vers_gesnede_cw01_2024
1226170|aldi|2025-05-08|Smeerkaas 20+ naturel|Milsani|200.0|g|ALDI Supermarkten > Product > Smeerkaas 20+ naturel|ALDI Supermarkten|Product|Smeerkaas 20+ naturel|||1.49|1.49|None|||||||7.45|EUR|https://www.aldi.nl/product/smeerkaas-20+-naturel-1226170.html||||||nl||||1226170|||https://s7g10.scene7.com/is/image/aldinord/product_1226170_main_cms_2_nl_nl_smeerkaas_20_naturel_cw01_2024
1226167|aldi|2025-05-08|Parmigiano Reggiano|Cucina|200.0|g|ALDI Supermarkten > Product > Parmigiano Reggiano|ALDI Supermarkten|Product|Parmigiano Reggiano|||4.69|4.69|None|||||||23.45|EUR|https://www.aldi.nl/product/parmigiano-reggiano-1226167.html|||Stuk 30+. Minimaal 24 maanden gerijpt. Lekker over pasta of door salade.|||nl||||1226167|||https://s7g10.scene7.com/is/image/aldinord/product_1226167_main_cms_1_nl_nl_parmigiano_reggiano_cw01_2024
1226165|aldi|2025-05-08|Verse roomkaas met kruiden|Valblanc|150.0|g|ALDI Supermarkten > Product > BBQ > Verse roomkaas met kruiden|ALDI Supermarkten|Product|BBQ|||1.19|1.19|None|||||||7.93|EUR|https://www.aldi.nl/product/verse-roomkaas-met-kruiden-1226165.html|||Ontdek onze lekkere roomkaas, de perfecte smaakmaker voor elk gerecht! Roomkaas bevat belangrijke voedingsstoffen, zoals eiwitten, calcium en vitamine A. Verse roomkaas, kruidig van smaak Gemaakt van natuurlijke ingrediënten biedt roomkaas een heerlijke toevoeging aan broodjes, bagels, crackers en is het een populaire keuze als basis voor dips en zuivelspread. Geniet van de romige textuur en de subtiele knoflook smaak die je snacks en maaltijden net wat smaakvoller maken. Een onmisbaar product in jouw keuken! Wist-je-dat: roomkaas verschillende varianten kent over de hele wereld? Zo is er de Italiaanse mascarpone, de Duitse Quark en de Mexicaanse crema. Elke variant heeft zijn eigen unieke kenmerken en kun je in de keuken net iets anders gebruiken.|||nl||||1226165|||https://s7g10.scene7.com/is/image/aldinord/product_1226165_main_cms_2_nl_nl_verse_roomkaas_met_kruiden_cw01_2024
1226162|aldi|2025-05-08|Smeerkaas 48+ naturel|Milsani|200.0|g|ALDI Supermarkten > Product > Smeerkaas 48+ naturel|ALDI Supermarkten|Product|Smeerkaas 48+ naturel|||1.49|1.49|None|||||||7.45|EUR|https://www.aldi.nl/product/-smeerkaas-48+-naturel---1226162.html||||||nl||||1226162|||https://s7g10.scene7.com/is/image/aldinord/product_1226162_main_cms_2_nl_nl_smeerkaas_48_naturel_cw01_2024
1226151|aldi|2025-05-08|Camembert Destrier|Destrier|250.0|g|ALDI Supermarkten > Product > Camembert Destrier|ALDI Supermarkten|Product|Camembert Destrier|||1.99|1.99|None|||||||7.96|EUR|https://www.aldi.nl/product/camembert-destrier-1226151.html|||250 g.|||nl||||1226151|||https://s7g10.scene7.com/is/image/aldinord/product_1226151_main_cms_1_nl_nl_camembert_destrier_cw01_2024
1226142|aldi|2025-05-08|Kaasplakken 30+ jong|milner|150.0|g|ALDI Supermarkten > Product > Kaasplakken 30+ jong|ALDI Supermarkten|Product|Kaasplakken 30+ jong|||None|None|None|||||||None|EUR|https://www.aldi.nl/product/kaasplakken-30+-jong--1226142.html||||||nl||||1226142|||https://s7g10.scene7.com/is/image/aldinord/product_1226142_main_cms_1_nl_nl_kaasplakken_30_jong_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
1226140|aldi|2025-05-08|Goudse geraspte kaas 48+ jong belegen|Molenland|250.0|g|ALDI Supermarkten > Product > Goudse geraspte kaas 48+ jong belegen|ALDI Supermarkten|Product|Goudse geraspte kaas 48+ jong belegen|||2.99|2.99|None|2.39|2025-05-12|2025-05-19|discount|||11.96|EUR|https://www.aldi.nl/product/goudse-geraspte-kaas-48+-jong-belegen-1226140.html||||||nl||||1226140|||https://s7g10.scene7.com/is/image/aldinord/product_1226140_main_cms_1_nl_nl_goudse_geraspte_kaas_48_jong_belegen_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
